tweet_id,favorites,retweets
690932576555528194,3418,1083
690938899477221376,4296,2105
690959652130045952,3744,1327
691090071332753408,1784,356
691096613310316544,3075,934
691321916024623104,2679,698
691416866452082688,20123,8100
691444869282295808,2760,892
691459709405118465,4229,1218
691483041324204033,2480,596
691675652215414786,2025,533
691756958957883396,3009,1077
691820333922455552,4113,1756
692017291282812928,2990,1007
692142790915014657,1714,415
692158366030913536,2239,839
692187005137076224,2632,864
692417313023332352,9717,3678
692530551048294401,1923,441
692535307825213440,3330,1440
692568918515392513,4531,1625
692752401762250755,7114,3842
692828166163931137,3007,928
692894228850999298,2377,855
692901601640583168,1862,637
692905862751522816,2543,925
692919143163629568,2776,789
693095443459342336,1954,488
693109034023534592,1793,648
693155686491000832,8212,3389
693231807727280129,2992,775
693262851218264065,2325,528
693280720173801472,3504,1309
693486665285931008,1853,667
693590843962331137,5274,2089
693622659251335168,1612,389
693629975228977152,2556,839
693642232151285760,2639,437
693647888581312512,2812,625
693942351086120961,1804,387
694001791655137281,3540,1090
694183373896572928,3070,983
694206574471057408,4355,2146
694329668942569472,2090,528
694352839993344000,2131,656
694356675654983680,1571,303
694669722378485760,37234,15289
694905863685980160,2865,982
695051054296211456,2770,833
695064344191721472,1676,635
695074328191332352,2963,1170
695095422348574720,2748,650
695314793360662529,3791,1552
695409464418041856,9006,3779
695446424020918272,4552,1913
695629776980148225,4753,2221
695767669421768709,1947,790
695794761660297217,3316,822
695816827381944320,3134,1236
696405997980676096,3349,1207
696488710901260288,2644,1087
696713835009417216,2466,680
696754882863349760,1538,377
696877980375769088,2534,749
696886256886657024,5047,1903
696894894812565505,2429,709
696900204696625153,3317,1079
697242256848379904,2618,705
697255105972801536,3146,1223
697259378236399616,3422,1050
697270446429966336,4865,1969
697463031882764288,3545,1460
697482927769255936,2514,710
697575480820686848,2125,528
697596423848730625,3159,1329
697616773278015490,3288,1070
697881462549430272,3142,1265
697943111201378304,2496,725
697990423684476929,3420,1372
697995514407682048,1591,354
698178924120031232,2919,786
698195409219559425,17443,6297
698262614669991936,4943,2126
698342080612007937,2354,1002
698355670425473025,1948,479
698549713696649216,2420,654
698635131305795584,1342,359
698703483621523456,1510,402
698710712454139905,2575,720
698907974262222848,2642,660
698953797952008193,2811,956
698989035503689728,3510,1040
699036661657767936,2711,1265
699072405256409088,3132,1256
699079609774645248,2554,692
699088579889332224,2336,666
699323444782047232,3295,912
699370870310113280,1958,461
699413908797464576,2156,651
699423671849451520,1433,349
699434518667751424,2252,536
699446877801091073,6185,2761
699691744225525762,10672,4859
699775878809702401,2037,640
699779630832685056,2885,1315
699788877217865730,2327,526
699801817392291840,3193,1013
700002074055016451,3444,1417
700029284593901568,2154,617
700062718104104960,2758,731
700143752053182464,7839,2896
700151421916807169,2322,702
700167517596164096,2747,785
700462010979500032,4309,1905
700505138482569216,2380,600
700518061187723268,2747,848
700747788515020802,23779,9882
700796979434098688,2533,1009
700847567345688576,2524,528
700864154249383937,2690,649
700890391244103680,2300,606
701214700881756160,12702,5406
701545186879471618,2768,647
701570477911896070,2928,985
701601587219795968,2175,481
701889187134500865,3691,1456
701952816642965504,3977,1080
701981390485725185,3589,1049
702217446468493312,4993,1409
702276748847800320,2572,806
702321140488925184,3413,1090
702539513671897089,2990,1010
702598099714314240,12682,3626
702671118226825216,2288,594
702684942141153280,3352,1141
702932127499816960,2695,761
703041949650034688,27434,13257
703079050210877440,7703,3277
703268521220972544,2045,574
703356393781329922,1992,406
703382836347330562,3645,1195
703407252292673536,2549,734
703425003149250560,3949,1453
703611486317502464,4011,1596
703631701117943808,2698,723
703769065844768768,3417,1200
703774238772166656,1911,489
704054845121142784,3036,961
704113298707505153,1927,594
704347321748819968,1655,367
704364645503647744,8342,3750
704480331685040129,3531,1117
704499785726889984,3047,1055
704761120771465216,6889,3057
704819833553219584,2741,1051
704847917308362754,5303,1622
704859558691414016,2338,577
704871453724954624,4434,1173
705066031337840642,2257,639
705102439679201280,2235,538
705223444686888960,2677,852
705239209544720384,3114,787
705428427625635840,3964,1778
705442520700944385,4632,1734
705475953783398401,3068,972
705591895322394625,3299,1216
705786532653883392,2022,552
